U+2A6D7	𪛗
U+30238	𰈸
U+30239	𰈹
U+3023B	𰈻
U+3023C	𰈼
U+3023D	𰈽
U+3023E	𰈾
U+3023F	𰈿
U+30240	𰉀
U+30241	𰉁
U+30242	𰉂
U+30243	𰉃
U+30244	𰉄
U+30245	𰉅
U+30246	𰉆
U+30247	𰉇
U+30248	𰉈
U+30249	𰉉
U+3024A	𰉊
U+3024B	𰉋
U+3024C	𰉌
U+3024D	𰉍
U+3024E	𰉎
U+3024F	𰉏
U+30250	𰉐
U+30251	𰉑
U+30252	𰉒
U+30253	𰉓
U+30255	𰉕
U+30256	𰉖
U+30257	𰉗
U+30258	𰉘
U+30259	𰉙
U+3025A	𰉚
U+3025B	𰉛
U+3025E	𰉞
U+3025F	𰉟
U+30260	𰉠
U+30261	𰉡
U+30262	𰉢
U+30263	𰉣
U+30265	𰉥
U+30266	𰉦
U+30269	𰉩
U+3026A	𰉪
U+3026B	𰉫
U+3026C	𰉬
U+3026D	𰉭
U+3026F	𰉯
U+30270	𰉰
U+30271	𰉱
U+30272	𰉲
U+30273	𰉳
U+30274	𰉴
U+30275	𰉵
U+30276	𰉶
U+30277	𰉷
U+30278	𰉸
U+3027B	𰉻
U+3027C	𰉼
U+3027D	𰉽
U+3027E	𰉾
U+3027F	𰉿
U+30282	𰊂
U+30284	𰊄
U+30285	𰊅
U+30286	𰊆
U+30287	𰊇
U+30288	𰊈
U+30289	𰊉
U+3028A	𰊊
U+3028E	𰊎
U+30291	𰊑
U+30293	𰊓
U+30295	𰊕
U+30296	𰊖
U+30298	𰊘
U+30299	𰊙
U+3029B	𰊛
U+3029C	𰊜
U+3029D	𰊝
U+3029E	𰊞
U+3029F	𰊟
U+302A0	𰊠
U+302A1	𰊡
U+302A2	𰊢
U+302A3	𰊣
U+302A5	𰊥
U+302A7	𰊧
U+302A8	𰊨
U+302AD	𰊭
U+302AE	𰊮
U+302AF	𰊯
U+302B1	𰊱
U+302B4	𰊴
U+302B6	𰊶
U+302B7	𰊷
U+302B9	𰊹
U+302BA	𰊺
U+302BB	𰊻
U+302BC	𰊼
U+302BE	𰊾
U+302BF	𰊿
U+302C0	𰋀
U+302C1	𰋁
U+302C4	𰋄
U+302C5	𰋅
U+302C6	𰋆
U+302C9	𰋉
U+302CA	𰋊
U+302CB	𰋋
U+302CE	𰋎
U+302CF	𰋏
U+302D0	𰋐
U+302D1	𰋑
U+302D2	𰋒
U+302D3	𰋓
U+302D5	𰋕
U+302D6	𰋖
U+302D7	𰋗
U+302D8	𰋘
U+302D9	𰋙
U+302DA	𰋚
U+302DB	𰋛
U+302DC	𰋜
U+302DD	𰋝
U+302DE	𰋞
U+302DF	𰋟
U+302E0	𰋠
U+302E2	𰋢
U+302E3	𰋣
U+302E5	𰋥
U+302E6	𰋦
U+302E7	𰋧
U+302E9	𰋩
U+302EB	𰋫
U+302EC	𰋬
U+302EE	𰋮
U+302F0	𰋰
U+302F1	𰋱
U+302F3	𰋳
U+302F4	𰋴
U+302F5	𰋵
U+302F6	𰋶
U+302F7	𰋷
U+302F8	𰋸
U+302F9	𰋹
U+302FA	𰋺
U+302FB	𰋻
U+302FC	𰋼
U+302FD	𰋽
U+302FE	𰋾
U+302FF	𰋿
U+30300	𰌀
U+30301	𰌁
U+30302	𰌂
U+30303	𰌃
U+30304	𰌄
U+30306	𰌆
U+30307	𰌇
U+30308	𰌈
U+30309	𰌉
U+3030A	𰌊
U+3030B	𰌋
U+3030C	𰌌
U+3030E	𰌎
U+30310	𰌐
U+30313	𰌓
U+30314	𰌔
U+30315	𰌕
U+30316	𰌖
U+30317	𰌗
U+30318	𰌘
U+30319	𰌙
U+3031B	𰌛
U+3031C	𰌜
U+3031D	𰌝
U+3031E	𰌞
U+3031F	𰌟
U+30320	𰌠
U+30322	𰌢
U+30323	𰌣
U+30324	𰌤
U+30325	𰌥
U+30326	𰌦
U+30327	𰌧
U+30328	𰌨
U+30329	𰌩
U+3032A	𰌪
U+3032B	𰌫
U+3032C	𰌬
U+3032E	𰌮
U+3032F	𰌯
U+30330	𰌰
U+30331	𰌱
U+30332	𰌲
U+30333	𰌳
U+30334	𰌴
U+30335	𰌵
U+30336	𰌶
U+30337	𰌷
U+30339	𰌹
U+3033A	𰌺
U+3033B	𰌻
U+3033C	𰌼
U+3033D	𰌽
U+3033E	𰌾
U+3033F	𰌿
U+30341	𰍁
U+30343	𰍃
U+30345	𰍅
U+30347	𰍇
U+30348	𰍈
U+3034A	𰍊
U+3034E	𰍎
U+30350	𰍐
U+30351	𰍑
U+30353	𰍓
U+30355	𰍕
U+30356	𰍖
U+30357	𰍗
U+30358	𰍘
U+30359	𰍙
U+3035A	𰍚
U+3035B	𰍛
U+3035C	𰍜
U+3035D	𰍝
U+3035E	𰍞
U+30360	𰍠
U+30361	𰍡
U+30362	𰍢
U+30363	𰍣
U+30364	𰍤
U+30365	𰍥
U+30366	𰍦
U+30367	𰍧
U+30368	𰍨
U+30369	𰍩
U+3036A	𰍪
U+3036B	𰍫
U+3036C	𰍬
U+3036F	𰍯
U+30370	𰍰
U+30371	𰍱
U+30373	𰍳
U+30374	𰍴
U+30375	𰍵
U+3037B	𰍻
U+3037C	𰍼
U+30387	𰎇
U+30389	𰎉
U+3038B	𰎋
U+3038C	𰎌
U+3038E	𰎎
U+3038F	𰎏
U+30390	𰎐
U+30391	𰎑
U+30392	𰎒
U+30393	𰎓
U+30394	𰎔
U+30395	𰎕
U+30396	𰎖
U+3039B	𰎛
U+3039C	𰎜
U+3039D	𰎝
U+3039E	𰎞
U+3039F	𰎟
U+303A0	𰎠
U+303A2	𰎢
U+303A5	𰎥
U+303A6	𰎦
U+303A8	𰎨
U+303AB	𰎫
U+303AC	𰎬
U+303AD	𰎭
U+303B0	𰎰
U+303B3	𰎳
U+303B4	𰎴
U+303B5	𰎵
U+303B6	𰎶
U+303B7	𰎷
U+303B8	𰎸
U+303B9	𰎹
U+303BA	𰎺
U+303BC	𰎼
U+303C0	𰏀
U+303C1	𰏁
U+303C2	𰏂
U+303C3	𰏃
U+303C5	𰏅
U+303C6	𰏆
U+303C7	𰏇
U+303C8	𰏈
U+303C9	𰏉
U+303CA	𰏊
U+303CB	𰏋
U+303CC	𰏌
U+303CD	𰏍
U+303CE	𰏎
U+303D0	𰏐
U+303D1	𰏑
U+303D2	𰏒
U+303D3	𰏓
U+303D4	𰏔
U+303D5	𰏕
U+303D7	𰏗
U+303D8	𰏘
U+303D9	𰏙
U+303DA	𰏚
U+303DB	𰏛
U+303DC	𰏜
U+303DD	𰏝
U+303DE	𰏞
U+303DF	𰏟
U+303E0	𰏠
U+303E2	𰏢
U+303E3	𰏣
U+303E4	𰏤
U+303E6	𰏦
U+303E8	𰏨
U+303E9	𰏩
U+303EB	𰏫
U+303EC	𰏬
U+303ED	𰏭
U+303EE	𰏮
U+303EF	𰏯
U+303F0	𰏰
U+303F1	𰏱
U+303F2	𰏲
U+303F4	𰏴
U+303F5	𰏵
U+303F6	𰏶
U+303F8	𰏸
U+303FB	𰏻
U+303FC	𰏼
U+303FD	𰏽
U+303FE	𰏾
U+303FF	𰏿
U+30401	𰐁
U+30402	𰐂
U+30406	𰐆
U+30407	𰐇
U+30408	𰐈
U+30409	𰐉
U+3040A	𰐊
U+3040B	𰐋
U+3040F	𰐏
U+30413	𰐓
U+30414	𰐔
U+30415	𰐕
U+30416	𰐖
U+30418	𰐘
U+30419	𰐙
U+3041A	𰐚
U+3041D	𰐝
U+3041E	𰐞
U+30420	𰐠
U+30421	𰐡
U+30426	𰐦
U+30427	𰐧
U+30428	𰐨
U+30429	𰐩
U+3042B	𰐫
U+3042C	𰐬
U+3042D	𰐭
U+3042E	𰐮
U+30430	𰐰
U+30434	𰐴
U+30436	𰐶
U+30438	𰐸
U+30439	𰐹
U+3043A	𰐺
U+3043B	𰐻
U+3043C	𰐼
U+3043D	𰐽
U+3043E	𰐾
U+3043F	𰐿
U+30440	𰑀
U+30441	𰑁
U+30443	𰑃
U+30444	𰑄
U+30445	𰑅
U+30446	𰑆
U+30447	𰑇
U+30448	𰑈
U+3044A	𰑊
U+3044C	𰑌
U+3044D	𰑍
U+3044F	𰑏
U+30450	𰑐
U+30452	𰑒
U+30453	𰑓
U+30454	𰑔
U+30455	𰑕
U+30456	𰑖
U+30457	𰑗
U+30458	𰑘
U+30459	𰑙
U+3045A	𰑚
U+3045B	𰑛
U+3045C	𰑜
U+3045D	𰑝
U+3045E	𰑞
U+3045F	𰑟
U+30461	𰑡
U+30462	𰑢
U+30463	𰑣
U+30464	𰑤
U+30465	𰑥
U+30466	𰑦
U+30467	𰑧
U+30468	𰑨
U+3046A	𰑪
U+3046B	𰑫
U+3046C	𰑬
U+3046E	𰑮
U+30471	𰑱
U+30473	𰑳
U+30474	𰑴
U+30475	𰑵
U+30478	𰑸
U+30479	𰑹
U+3047A	𰑺
U+3047E	𰑾
U+3047F	𰑿
U+30480	𰒀
U+30481	𰒁
U+30482	𰒂
U+30483	𰒃
U+30485	𰒅
U+30486	𰒆
U+30487	𰒇
U+3048B	𰒋
U+3048C	𰒌
U+30490	𰒐
U+30491	𰒑
U+30492	𰒒
U+30493	𰒓
U+30495	𰒕
U+30496	𰒖
U+30497	𰒗
U+30498	𰒘
U+30499	𰒙
U+3049A	𰒚
U+3049B	𰒛
U+3049C	𰒜
U+3049E	𰒞
U+304A0	𰒠
U+304A1	𰒡
U+304A2	𰒢
U+304A3	𰒣
U+304A4	𰒤
U+304A5	𰒥
U+304A6	𰒦
U+304A8	𰒨
U+304AA	𰒪
U+304AD	𰒭
U+304AE	𰒮
U+304AF	𰒯
U+304B0	𰒰
U+304B1	𰒱
U+304B2	𰒲
U+304B3	𰒳
U+304B4	𰒴
U+304B5	𰒵
U+304B6	𰒶
U+304B7	𰒷
U+304B9	𰒹
U+304BA	𰒺
U+304BB	𰒻
U+304BC	𰒼
U+304BD	𰒽
U+304BE	𰒾
U+304BF	𰒿
U+304C0	𰓀
U+304C1	𰓁
U+304C2	𰓂
U+304C3	𰓃
U+304C4	𰓄
U+304C6	𰓆
U+304CA	𰓊
U+304CB	𰓋
U+304CC	𰓌
U+304D0	𰓐
U+304D1	𰓑
U+304D2	𰓒
U+304D3	𰓓
U+304D4	𰓔
U+304D5	𰓕
U+304D6	𰓖
U+304D7	𰓗
U+304D9	𰓙
U+304DA	𰓚
U+304DC	𰓜
U+304DD	𰓝
U+304DE	𰓞
U+304DF	𰓟
U+304E0	𰓠
U+304E2	𰓢
U+304E3	𰓣
U+304E4	𰓤
U+304E5	𰓥
U+304E7	𰓧
U+304E8	𰓨
U+304EA	𰓪
U+304EB	𰓫
U+304EC	𰓬
U+304ED	𰓭
U+304EE	𰓮
U+304F0	𰓰
U+304F1	𰓱
U+304F2	𰓲
U+304F5	𰓵
U+304F6	𰓶
U+304F7	𰓷
U+304F8	𰓸
U+304F9	𰓹
U+304FA	𰓺
U+304FB	𰓻
U+304FC	𰓼
U+304FE	𰓾
U+304FF	𰓿
U+30500	𰔀
U+30502	𰔂
U+30503	𰔃
U+30505	𰔅
U+30507	𰔇
U+30508	𰔈
U+3050B	𰔋
U+3050C	𰔌
U+3050E	𰔎
U+30510	𰔐
U+30515	𰔕
U+3051A	𰔚
U+3051B	𰔛
U+3051C	𰔜
U+3051D	𰔝
U+3051E	𰔞
U+30520	𰔠
U+30522	𰔢
U+30523	𰔣
U+30524	𰔤
U+30525	𰔥
U+30526	𰔦
U+3052A	𰔪
U+3052B	𰔫
U+3052C	𰔬
U+3052D	𰔭
U+30530	𰔰
U+30531	𰔱
U+30532	𰔲
U+30533	𰔳
U+30534	𰔴
U+30535	𰔵
U+30536	𰔶
U+30537	𰔷
U+30539	𰔹
U+3053A	𰔺
U+3053D	𰔽
U+3053E	𰔾
U+3053F	𰔿
U+30541	𰕁
U+30544	𰕄
U+30545	𰕅
U+30548	𰕈
U+30549	𰕉
U+3054A	𰕊
U+3054B	𰕋
U+3054C	𰕌
U+3054D	𰕍
U+3054E	𰕎
U+3054F	𰕏
U+30550	𰕐
U+30551	𰕑
U+30555	𰕕
U+30557	𰕗
U+30558	𰕘
U+30559	𰕙
U+3055A	𰕚
U+3055C	𰕜
U+3055D	𰕝
U+30561	𰕡
U+30563	𰕣
U+30565	𰕥
U+30566	𰕦
U+30567	𰕧
U+3056B	𰕫
U+3056C	𰕬
U+3056D	𰕭
U+3056E	𰕮
U+3056F	𰕯
U+30570	𰕰
U+30572	𰕲
U+30573	𰕳
U+30574	𰕴
U+30575	𰕵
U+30576	𰕶
U+30577	𰕷
U+30579	𰕹
U+3057A	𰕺
U+3057C	𰕼
U+3057D	𰕽
U+3057E	𰕾
U+30580	𰖀
U+30581	𰖁
U+30582	𰖂
U+30585	𰖅
U+30588	𰖈
U+3058C	𰖌
U+3058D	𰖍
U+3058F	𰖏
U+30590	𰖐
U+30591	𰖑
U+30593	𰖓
U+30594	𰖔
U+30595	𰖕
U+30596	𰖖
U+30597	𰖗
U+3059A	𰖚
U+3059B	𰖛
U+3059E	𰖞
U+3059F	𰖟
U+305A0	𰖠
U+305A2	𰖢
U+305A4	𰖤
U+305A8	𰖨
U+305A9	𰖩
U+305AA	𰖪
U+305AC	𰖬
U+305AE	𰖮
U+305AF	𰖯
U+305B1	𰖱
U+305B2	𰖲
U+305B3	𰖳
U+305B6	𰖶
U+305B8	𰖸
U+305BB	𰖻
U+305BF	𰖿
U+305C2	𰗂
U+305C3	𰗃
U+305C5	𰗅
U+305C6	𰗆
U+305C7	𰗇
U+305C8	𰗈
U+305C9	𰗉
U+305CB	𰗋
U+305CD	𰗍
U+305CE	𰗎
U+305D1	𰗑
U+305D3	𰗓
U+305D5	𰗕
U+305D6	𰗖
U+305D7	𰗗
U+305D8	𰗘
U+305D9	𰗙
U+305DA	𰗚
U+305DB	𰗛
U+305DC	𰗜
U+305DD	𰗝
U+305DE	𰗞
U+305E0	𰗠
U+305E1	𰗡
U+305E2	𰗢
U+305E3	𰗣
U+305E4	𰗤
U+305E5	𰗥
U+305E6	𰗦
U+305E7	𰗧
U+305E8	𰗨
U+305E9	𰗩
U+305EC	𰗬
U+305ED	𰗭
U+305EE	𰗮
U+305EF	𰗯
U+305F0	𰗰
U+305F2	𰗲
U+305F3	𰗳
U+305F4	𰗴
U+305F5	𰗵
U+305F6	𰗶
U+305F7	𰗷
U+305F8	𰗸
U+305F9	𰗹
U+305FA	𰗺
U+305FB	𰗻
U+305FC	𰗼
U+305FD	𰗽
U+305FE	𰗾
U+305FF	𰗿
U+30600	𰘀
U+30602	𰘂
U+30605	𰘅
U+30606	𰘆
U+30607	𰘇
U+30608	𰘈
U+30609	𰘉
U+3060A	𰘊
U+3060B	𰘋
U+3060C	𰘌
U+3060F	𰘏
U+30610	𰘐
U+30613	𰘓
U+30614	𰘔
U+30617	𰘗
U+30619	𰘙
U+3061A	𰘚
U+3061C	𰘜
U+3061D	𰘝
U+3061F	𰘟
U+30620	𰘠
U+30621	𰘡
U+30623	𰘣
U+30626	𰘦
U+30627	𰘧
U+30629	𰘩
U+3062A	𰘪
U+3062B	𰘫
U+3062C	𰘬
U+3062F	𰘯
U+30630	𰘰
U+30631	𰘱
U+30632	𰘲
U+30633	𰘳
U+30634	𰘴
U+30636	𰘶
U+30638	𰘸
U+30639	𰘹
U+3063A	𰘺
U+3063C	𰘼
U+3063E	𰘾
U+30641	𰙁
U+30643	𰙃
U+30645	𰙅
U+30649	𰙉
U+3064A	𰙊
U+3064B	𰙋
U+3064C	𰙌
U+3064E	𰙎
U+3064F	𰙏
U+30651	𰙑
U+30654	𰙔
U+30655	𰙕
U+30658	𰙘
U+3065A	𰙚
U+3065B	𰙛
U+3065C	𰙜
U+3065D	𰙝
U+3065E	𰙞
U+3065F	𰙟
U+30660	𰙠
U+30661	𰙡
U+30662	𰙢
U+30664	𰙤
U+30666	𰙦
U+30668	𰙨
U+30669	𰙩
U+3066A	𰙪
U+3066B	𰙫
U+3066C	𰙬
U+3066D	𰙭
U+3066E	𰙮
U+3066F	𰙯
U+30671	𰙱
U+30672	𰙲
U+30673	𰙳
U+30674	𰙴
U+30675	𰙵
U+30677	𰙷
U+30679	𰙹
U+3067A	𰙺
U+3067C	𰙼
U+3067D	𰙽
U+30682	𰚂
U+30683	𰚃
U+30687	𰚇
U+3068B	𰚋
U+3068D	𰚍
U+3068E	𰚎
U+3068F	𰚏
U+30691	𰚑
U+30694	𰚔
U+30699	𰚙
U+3069F	𰚟
U+306A0	𰚠
U+306A2	𰚢
U+306A3	𰚣
U+306A4	𰚤
U+306A6	𰚦
U+306A8	𰚨
U+306A9	𰚩
U+306AA	𰚪
U+306AB	𰚫
U+306AC	𰚬
U+306B0	𰚰
U+306B1	𰚱
U+306B3	𰚳
U+306BB	𰚻
U+306BC	𰚼
U+306C2	𰛂
U+306C4	𰛄
U+306C5	𰛅
U+306C7	𰛇
U+306C8	𰛈
U+306C9	𰛉
U+306CA	𰛊
U+306CB	𰛋
U+306CD	𰛍
U+306CE	𰛎
U+306CF	𰛏
U+306D0	𰛐
U+306D1	𰛑
U+306D2	𰛒
U+306D3	𰛓
U+306D5	𰛕
U+306D6	𰛖
U+306D7	𰛗
U+306D8	𰛘
U+306D9	𰛙
U+306DA	𰛚
U+306DB	𰛛
U+306DC	𰛜
U+306DD	𰛝
U+306DF	𰛟
U+306E0	𰛠
U+306E1	𰛡
U+306E2	𰛢
U+306E3	𰛣
U+306E4	𰛤
U+306E5	𰛥
U+306E6	𰛦
U+306E8	𰛨
U+306E9	𰛩
U+306EA	𰛪
U+306EC	𰛬
U+306ED	𰛭
U+306EE	𰛮
U+306F1	𰛱
U+306F2	𰛲
U+306F4	𰛴
U+306F5	𰛵
U+306F7	𰛷
U+306F9	𰛹
U+306FA	𰛺
U+306FB	𰛻
U+306FC	𰛼
U+306FD	𰛽
U+306FE	𰛾
U+306FF	𰛿
U+30700	𰜀
U+30701	𰜁
U+30703	𰜃
U+30706	𰜆
U+30707	𰜇
U+30708	𰜈
U+30709	𰜉
U+3070A	𰜊
U+3070B	𰜋
U+3070C	𰜌
U+3070D	𰜍
U+3070F	𰜏
U+30710	𰜐
U+30711	𰜑
U+30712	𰜒
U+30713	𰜓
